Year,Geography,Product category,GeoCode,Value
2019,New Brunswick,Construction materials,13,1.16
2019,New Brunswick,Electrical and electronic equipment,13,0.98
2019,New Brunswick,Packaging,13,1.35
2019,New Brunswick,Agriculture film,13,1.2
2019,New Brunswick,Textiles,13,1.08
2019,New Brunswick,Transportation vehicles,13,1.24
2019,New Brunswick,Other products,13,1.78
2019,Quebec,"Total, all product categories",24,1.39
2019,Quebec,Construction materials,24,1.17
2019,Quebec,Electrical and electronic equipment,24,0.99
2019,Quebec,Packaging,24,1.35
2019,Quebec,Agriculture film,24,1.21
2019,Quebec,Textiles,24,1.09
2019,Quebec,Transportation vehicles,24,1.23
2019,Quebec,Other products,24,1.82
2019,Ontario,"Total, all product categories",35,1.41
2019,Ontario,Construction materials,35,1.17
2019,Ontario,Electrical and electronic equipment,35,1.0
2019,Ontario,Packaging,35,1.35
2019,Ontario,Agriculture film,35,1.2
2019,Ontario,Textiles,35,1.09
2019,Ontario,Transportation vehicles,35,1.25
2019,Ontario,Other products,35,1.82
2019,Manitoba,"Total, all product categories",46,1.4
2019,Manitoba,Construction materials,46,1.17
2019,Manitoba,Electrical and electronic equipment,46,0.99
2019,Manitoba,Packaging,46,1.35
2019,Manitoba,Agriculture film,46,1.21
2019,Manitoba,Textiles,46,1.09
2019,Manitoba,Transportation vehicles,46,1.24
2019,Manitoba,Other products,46,1.82
2019,Saskatchewan,"Total, all product categories",47,1.38
2019,Saskatchewan,Construction materials,47,1.17
2019,Saskatchewan,Electrical and electronic equipment,47,0.99
2019,Saskatchewan,Packaging,47,1.35
2019,Saskatchewan,Agriculture film,47,1.2
2019,Saskatchewan,Textiles,47,1.09
2019,Saskatchewan,Transportation vehicles,47,1.24
2019,Saskatchewan,Other products,47,1.77
2019,Alberta,"Total, all product categories",48,1.42
2019,Alberta,Construction materials,48,1.17
2019,Alberta,Electrical and electronic equipment,48,1.03
2019,Alberta,Packaging,48,1.35
2019,Alberta,Agriculture film,48,1.2
2019,Alberta,Textiles,48,1.09
2019,Alberta,Transportation vehicles,48,1.24
2019,Alberta,Other products,48,1.8
2019,British Columbia,"Total, all product categories",59,1.4
2019,British Columbia,Construction materials,59,1.17
2019,British Columbia,Electrical and electronic equipment,59,0.96
2019,British Columbia,Packaging,59,1.35
2019,British Columbia,Agriculture film,59,1.19
2019,British Columbia,Textiles,59,1.09
2019,British Columbia,Transportation vehicles,59,1.24
